GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.warehouse.api.beans,Warehouse,4,34,0,0,2,14,1,10,1,10
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,0,48,1,3,0,11,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,Product,6,3,0,0,3,1,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,7,112,1,9,1,26,1,11,0,7
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,0,95,0,0,0,15,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,0,33,0,0,0,9,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,127,115,25,3,22,25,15,7,2,6
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,0,154,2,16,0,37,2,15,0,8
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreUpdatedEvent,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,StoreCreatedEvent,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,3,56,0,0,2,16,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.stores,Store,6,3,0,0,3,1,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.stores,StoreEventObserver,0,32,0,0,0,8,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,28,167,2,6,4,39,3,10,1,8
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,0,48,0,4,0,13,0,5,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,0,87,0,8,0,20,0,7,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,0,108,0,10,0,24,0,8,0,3
